AOP,AOP,Title,Event,EventType,Description,NLP ASPIS
Aop:57,57,AhR activation to steatosis,Event:80,KeyEvent,"Up Regulation, CYP1A1","not found, could have been found in 36150442"
Aop:57,57,AhR activation to steatosis,Event:466,KeyEvent,"Up Regulation, LDLR (low density lipoprotein receptor)",not found
Aop:57,57,AhR activation to steatosis,Event:462,KeyEvent,"Up Regulation, SCD-1",not found
Aop:58,58,NR1I3 suppression to steatosis,Event:327,KeyEvent,"Accumulation, Fatty acid","""accumulation of saturated fatty acids"""
Aop:58,58,NR1I3 suppression to steatosis,Event:66,KeyEvent,"Activation, ChREBP",not found
Aop:58,58,NR1I3 suppression to steatosis,Event:167,MolecularInitiatingEvent,"Activation, LXR","""Activation of liver X receptor"""
Aop:58,58,NR1I3 suppression to steatosis,Event:457,KeyEvent,"Activation, SREBF1",not found
Aop:58,58,NR1I3 suppression to steatosis,Event:458,KeyEvent,"Increased, De Novo FA synthesis","""increased fatty acid synthesis"""
Aop:58,58,NR1I3 suppression to steatosis,Event:465,KeyEvent,"Increased, FA Influx","""upregulation of fatty acid uptake"""
Aop:58,58,NR1I3 suppression to steatosis,Event:459,AdverseOutcome,"Increased, Liver Steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:58,58,NR1I3 suppression to steatosis,Event:454,KeyEvent,"Increased, Triglyceride formation","not found, nothing specific to formation, only to increase in triglycerides"
Aop:58,58,NR1I3 suppression to steatosis,Event:451,KeyEvent,"Inhibition, Mitochondrial fatty acid beta-oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:58,58,NR1I3 suppression to steatosis,Event:468,MolecularInitiatingEvent,"Inhibition, PPAR alpha",not found
Aop:58,58,NR1I3 suppression to steatosis,Event:228,MolecularInitiatingEvent,peroxisome proliferator activated receptor promoter demethylation,not found
Aop:58,58,NR1I3 suppression to steatosis,Event:456,MolecularInitiatingEvent,"Suppression, Constitutive androstane receptor, NR1l3",not found
Aop:58,58,NR1I3 suppression to steatosis,Event:470,KeyEvent,"Up Regulation, Acetyl-CoA carboxylase-1 (ACC-1)",not found
Aop:58,58,NR1I3 suppression to steatosis,Event:54,KeyEvent,"Up Regulation, CD36","not found, could have been found in 35491243"
Aop:58,58,NR1I3 suppression to steatosis,Event:463,KeyEvent,"Up Regulation, FAS","""fatty acid synthase'. not found, could have been found in 25461557"
Aop:58,58,NR1I3 suppression to steatosis,Event:462,KeyEvent,"Up Regulation, SCD-1",not found
Aop:59,59,HNF4A suppression to steatosis,Event:461,MolecularInitiatingEvent,"Suppression, HNF4alpha",not found
Aop:60,60,PXR activation to steatosis,Event:327,KeyEvent,"Accumulation, Fatty acid","""accumulation of saturated fatty acids"""
Aop:60,60,PXR activation to steatosis,Event:245,MolecularInitiatingEvent,"Activation, PXR/SXR",not found
Aop:60,60,PXR activation to steatosis,Event:477,KeyEvent,"Decreased, Ketogenesis",not found
Aop:60,60,PXR activation to steatosis,Event:179,KeyEvent,"Decreased, Mitochondrial fatty acid beta-oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:60,60,PXR activation to steatosis,Event:472,KeyEvent,"Down Regulation, CPT1A",not found
Aop:60,60,PXR activation to steatosis,Event:474,KeyEvent,"Down Regulation, HMGCS2",not found
Aop:60,60,PXR activation to steatosis,Event:465,KeyEvent,"Increased, FA Influx","""upregulation of fatty acid uptake"""
Aop:60,60,PXR activation to steatosis,Event:459,AdverseOutcome,"Increased, Liver Steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:60,60,PXR activation to steatosis,Event:454,KeyEvent,"Increased, Triglyceride formation","nothing specific to formation, only to increase in triglycerides"
Aop:60,60,PXR activation to steatosis,Event:471,KeyEvent,"Inhibition, FoxA2",not found
Aop:60,60,PXR activation to steatosis,Event:54,KeyEvent,"Up Regulation, CD36","not found, could have been found in 35491243"
Aop:60,60,PXR activation to steatosis,Event:462,KeyEvent,"Up Regulation, SCD-1",not found
Aop:61,61,NRF2/FXR to steatosis,Event:483,KeyEvent,"Activation, LXR alpha","""LXRα stimulation"""
Aop:61,61,NRF2/FXR to steatosis,Event:879,KeyEvent,"Activation, MTTP",not found
Aop:61,61,NRF2/FXR to steatosis,Event:479,MolecularInitiatingEvent,"Activation, NR1H4",not found
Aop:61,61,NRF2/FXR to steatosis,Event:478,MolecularInitiatingEvent,"Activation, NRF2","""enhanced expression of the nuclear translocation of NF-E2-related factor (Nrf2)"""
Aop:61,61,NRF2/FXR to steatosis,Event:227,KeyEvent,"Activation, PPARα","""PPARα stimulation"", ""activation of peroxisome proliferator-activated receptor"""
Aop:61,61,NRF2/FXR to steatosis,Event:480,KeyEvent,"Activation, SHP","""increase in liver Fxr-Shp-Lrh-1 signaling"""
Aop:61,61,NRF2/FXR to steatosis,Event:482,KeyEvent,"Decreased, DHB4/HSD17B4",not found
Aop:61,61,NRF2/FXR to steatosis,Event:880,KeyEvent,"Increased, ApoB100",not found
Aop:61,61,NRF2/FXR to steatosis,Event:458,KeyEvent,"Increased, De Novo FA synthesis","""increased fatty acid synthesis"""
Aop:61,61,NRF2/FXR to steatosis,Event:459,AdverseOutcome,"Increased, Liver Steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:61,61,NRF2/FXR to steatosis,Event:881,KeyEvent,"Increased, Triglyceride","""hypertriglyceridemia"", ""increase in the triglyceride level"", ""increase in hepatic triglycerides"""
Aop:61,61,NRF2/FXR to steatosis,Event:451,KeyEvent,"Inhibition, Mitochondrial fatty acid beta-oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:61,61,NRF2/FXR to steatosis,Event:878,KeyEvent,"Inhibition, SREBP1c","""suppressed AKT/SREBP1/FASN signaling"""
Aop:62,62,AKT2 activation to steatosis,Event:484,KeyEvent,"Activation, AKT2",not found
Aop:62,62,AKT2 activation to steatosis,Event:457,KeyEvent,"Activation, SREBF1",not found
Aop:62,62,AKT2 activation to steatosis,Event:459,AdverseOutcome,"Increased, Liver Steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:62,62,AKT2 activation to steatosis,Event:486,MolecularInitiatingEvent,systemic inflammation leading to hepatic steatosis,"""systemic inflammation was increased"""
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1421,KeyEvent,"Activated, LXR","""Activation of liver X receptor"""
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1418,AdverseOutcome,"Increased, steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1417,MolecularInitiatingEvent,NFE2/Nrf2 repression,"""loss of Nrf2"", ""Nrf2 deficiency"""
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1424,KeyEvent,"Reduced, fatty acid beta oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1419,KeyEvent,"Reduced, FXR activity",not found
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1423,KeyEvent,"Reduced, HSD17B4 activity",not found
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1422,KeyEvent,"Reduced, PPARalpha",not found
Aop:232,232,NFE2/Nrf2 repression to steatosis,Event:1420,KeyEvent,"Reduced, SHP activity",not found
Aop:318,318,GR activation leading to hepatic steatosis,Event:291,KeyEvent,"Accumulation, Triglyceride","""storage of triglycerides"""
Aop:318,318,GR activation leading to hepatic steatosis,Event:122,MolecularInitiatingEvent,"Activation, Glucocorticoid Receptor","""better glucocorticoid receptor phosphorylation"""
Aop:318,318,GR activation leading to hepatic steatosis,Event:1834,KeyEvent,"Decrease, Acyl-CoA dehydrogenases",not found
Aop:318,318,GR activation leading to hepatic steatosis,Event:860,KeyEvent,"Decreased, Mitochondrial Fatty Acid Beta Oxidation","""impairment of mitochondrial fatty acid oxidation"", ""decrease fatty acid oxidation"""
Aop:318,318,GR activation leading to hepatic steatosis,Event:459,AdverseOutcome,"Increased, Liver Steatosis","""worsened hepatic steatosis"", ""'increased adiposity and hepatic steatosis'"""
Aop:421,421,PPARG activation leading to intrahepatic cholestasis,Event:1917,KeyEvent,"Altered gene expression, NRF2 dependent antioxidant pathway","""enhanced expression of the nuclear translocation of NF-E2-related factor (Nrf2)"", ""activation of Nrf2 defense pathway"""
